Size,ArrayType,Algorithm,TimeMs,Comparisons
800,Reverse,MSD_QS,0.0871204,14945
800,NearlySorted,MergeSort,0.362237,12638
800,NearlySorted,QuickSort,0.312662,143201
800,NearlySorted,StringMergeSort,0.355669,8598
800,NearlySorted,StringQuickSort,0.050295,14491
800,NearlySorted,MSD,0.159724,3814
800,NearlySorted,MSD_QS,0.0600376,7024
800,CommonPrefix,MergeSort,0.485624,204066
800,CommonPrefix,QuickSort,0.118063,140455
800,CommonPrefix,StringMergeSort,0.459144,103002
800,CommonPrefix,StringQuickSort,0.0614194,19877
800,CommonPrefix,MSD,0.44543,25824
800,CommonPrefix,MSD_QS,0.44422,26646
900,Random,MergeSort,0.515871,20027
900,Random,QuickSort,0.089025,14285
900,Random,StringMergeSort,0.495572,10133
900,Random,StringQuickSort,0.0619104,10233
900,Random,MSD,0.165648,3836
900,Random,MSD_QS,0.0642018,4979
900,Reverse,MergeSort,0.457865,20991
900,Reverse,QuickSort,1.06893,423127
900,Reverse,StringMergeSort,0.446317,6997
900,Reverse,StringQuickSort,0.0805406,20565
900,Reverse,MSD,0.203327,4358
900,Reverse,MSD_QS,0.0995564,16995
900,NearlySorted,MergeSort,0.443856,13705
900,NearlySorted,QuickSort,0.57883,226096
900,NearlySorted,StringMergeSort,0.474056,9473
900,NearlySorted,StringQuickSort,0.0751274,17433
900,NearlySorted,MSD,0.211634,4294
900,NearlySorted,MSD_QS,0.0737214,7958
900,CommonPrefix,MergeSort,0.81637,233571
900,CommonPrefix,QuickSort,0.165226,137470
900,CommonPrefix,StringMergeSort,0.871303,118195
900,CommonPrefix,StringQuickSort,0.094506,22106
900,CommonPrefix,MSD,0.564031,29072
900,CommonPrefix,MSD_QS,0.533568,30065
1000,Random,MergeSort,0.627672,22979
1000,Random,QuickSort,0.0953106,13934
1000,Random,StringMergeSort,0.544115,11571
1000,Random,StringQuickSort,0.0692258,10818
1000,Random,MSD,0.196686,4286
1000,Random,MSD_QS,0.102734,5686
1000,Reverse,MergeSort,1.04285,24150
